instruction,input,output
What is the purpose of base 64 encoding and why it used in HTTP Basic Authentication?,,
Best way for a &#39;forgot password&#39; implementation?,,
How to allow http content within an iframe on a https site,,
How can I store my users&#39; passwords safely?,,
Has reCaptcha been cracked / hacked / OCR&#39;d / defeated / broken?,,
Two-way encryption: I need to store passwords that can be retrieved,,
How to pass the value of a variable to the standard input of a command?,,
Hiding a password in a python script (insecure obfuscation only),,
How do I prevent Android taking a screenshot when my app goes to the background?,,
How to read a HttpOnly cookie using JavaScript,,
What is the App_Data folder used for in Visual Studio?,,
Is JSON Hijacking still an issue in modern browsers?,,
Access is denied when attaching a database,,
How to hash a password,,
Obscure a UITextField password,,
Difference between Hashing a Password and Encrypting it,,
Should I hash the password before sending it to the server side?,,
.NET obfuscation tools/strategy,,
Should JWT be stored in localStorage or cookie?,,
CSRF protection with CORS Origin header vs. CSRF token,,
How do I get the entity that represents the current user in Symfony?,,
What&#39;s the best approach for generating a new API key?,,
Can I protect against SQL injection by escaping single-quote and surrounding user input with single-quotes?,,
What is the best Distributed Brute Force countermeasure?,,
mysql - How to grant read only permissions to a user?,,
How does this checkbox recaptcha work and how can I use it?,,
Google Authenticator available as a public service?,,
How can a JACC provider use the Principal-to-role mapping facilities of the server it&#39;s deployed on?,,
Why is it not advisable to have the database and web server on the same machine?,,
PHP Session Fixation / Hijacking,,
How to securely store access token and secret in Android?,,
Why is this code vulnerable to buffer overflow attacks?,,
How to obtain the location of cacerts of the default java installation?,,
Android Game Keeps Getting Hacked,,
is there a yarn alternative for npm audit?,,
How do Google+ +1 widgets break out of their iframe?,,
OAuth secrets in mobile apps,,
"I need to securely store a username and password in Python, what are my options?",,
How to securely save username/password (local)?,,
How do API Keys and Secret Keys work? Would it be secure if I have to pass my API and secret keys to another application?,,
Encrypt password in configuration files,,
Android SharedPreference security,,
Is using an outdated C compiler a security risk?,,
Is there any way to put malicious code into a regular expression?,,
"When you use &#39;badidea&#39; or &#39;thisisunsafe&#39; to bypass a Chrome certificate/HSTS error, does it only apply for the current site?",,
How to create a laravel hashed password,,
What is the best way to prevent session hijacking?,,
Keystore type: which one to use?,,
Disable firefox same origin policy,,
What is the difference between CORS and CSPs?,,
How does this giant regex work?,,
What &#39;sensitive information&#39; could be disclosed when setting JsonRequestBehavior to AllowGet,,
How to send password securely over HTTP?,,
SSL Error: unable to get local issuer certificate,,
Disable-web-security in Chrome 48+,,
Google Authenticator implementation in Python,,
Why use an API key and secret?,,
Why not use HTTPS for everything?,,
How to properly add cross-site request forgery (CSRF) token using PHP,,
How to do stateless (session-less) &amp; cookie-less authentication?,,
Is it safe to put a jwt into the url as a query parameter of a GET request?,,
PHP Session Security,,
Remove Server Response Header IIS7,,
Best practices for server-side handling of JWT tokens,,
X-Frame-Options Allow-From multiple domains,,
"Algid parse error, not a sequence",,
How to encrypt/decrypt data in php?,,
How to restrict Firebase data modification?,,
What&#39;s the right OAuth 2.0 flow for a mobile app,,
How to Export Certificate from Chrome on a Mac?,,
The EXECUTE permission is denied on the user-defined table types?,,
What is an API key?,,
XMLHttpRequest cannot load file. Cross origin requests are only supported for HTTP,,
How to add Active Directory user group as login in SQL Server,,
Do htmlspecialchars and mysql_real_escape_string keep my PHP code safe from injection?,,
Restrict API requests to only my own mobile app,,
What are the risks of running &#39;sudo pip&#39;?,,
How do I secure REST API calls?,,
API Keys vs HTTP Authentication vs OAuth in a RESTful API,,
"High quality, simple random password generator",,
Securely storing passwords for use in python script,,
AES vs Blowfish for file encryption,,
How to give non-root user in Docker container access to a volume mounted on the host,,
The necessity of hiding the salt for a hash,,
https URL with token parameter : how secure is it?,,
Why is printf with a single argument (without conversion specifiers) deprecated?,,
What command do I use to see what the ECDSA key fingerprint of my server is?,,
What does it mean to escape a string?,,
Why is the standard session lifetime 24 minutes (1440 seconds)?,,
What is SQL injection?,,
PHP setcookie &quot;SameSite=Strict&quot;?,,
How do you set up use HttpOnly cookies in PHP,,
Defeating a Poker Bot,,
How to check whether a directory is a sub directory of another directory,,
How to prevent a browser from storing passwords,,
Techniques for obscuring sensitive strings in C++,,
Which $_SERVER variables are safe?,,
client secret in OAuth 2.0,,
Random number in range [min - max] using PHP,,
How to limit setAccessible to only &quot;legitimate&quot; uses?,,
Best practices around generating OAuth tokens?,,
How permission can be checked at runtime without throwing SecurityException?,,
C - The %x format specifier,,
SSL and man-in-the-middle misunderstanding,,
Is there a difference between authentication and authorization?,,
best practice to generate random token for forgot password,,
Are JSON web services vulnerable to CSRF attacks?,,
What are best practices for securing the admin section of a website?,,
Why is there no same-origin policy for WebSockets? Why can I connect to ws://localhost?,,
How to find the privileges and roles granted to a user in Oracle?,,
How do you protect your software from illegal distribution?,,
How to validate domain credentials?,,
Difference between SSL &amp; TLS,,
How to hash long passwords (&gt;72 characters) with blowfish,,
How does the JPEG of Death vulnerability operate?,,
Non-random salt for password hashes,,
Is it safe to trust $_SERVER[&#39;REMOTE_ADDR&#39;]?,,
How to enable DDoS protection?,,
Generating cryptographically secure tokens,,
iOS 11: ATS (App Transport Security) no longer accepts custom anchor certs?,,
Do you use the TR 24731 &#39;safe&#39; functions?,,
What security mechanisms does Meteor have?,,
When is it safe to enable CORS?,,
where do I keep my amazon .pem file on a mac,,
Handling passwords used for auth in source code,,
difference between gcc -D_FORTIFY_SOURCE=1 and -D_FORTIFY_SOURCE=2,,
How can sanitation that escapes single quotes be defeated by SQL injection in SQL Server?,,
Access Control in Domain Driven Design,,
Why java.security.NoSuchProviderException No such provider: BC?,,
How does SQLParameter prevent SQL Injection?,,
Why should checking a wrong password take longer than checking the right one?,,
How can I protect MySQL username and password from decompiling?,,
How to secure RESTful web services?,,
Ignore &#39;Security Warning&#39; running script from command line,,
Does .pem file contain both private and public keys?,,
Use of Initialization Vector in openssl_encrypt,,
Detecting if a browser is using Private Browsing mode,,
Why are strlcpy and strlcat considered insecure?,,
JAAS for human beings,,
"java.security.InvalidAlgorithmParameterException: the trustAnchors parameter must be non-empty on Linux, or why is the default truststore empty",,
SQLAlchemy + SQL Injection,,
Why do salts make dictionary attacks &#39;impossible&#39;?,,
What&#39;s the risk of deploying debug symbols (pdb file) in a production environment?,,
"Google Chrome weird cursor blink on pages, never seen &#39;em before",,
Sanitize/Rewrite HTML on the Client Side,,
How secure is a HTTP POST?,,
Modelling a permissions system,,
How To Become a SAML Service Provider,,
Override Authorize Attribute in ASP.NET MVC,,
XSS prevention in JSP/Servlet web application,,
How to Implement Password Resets?,,
Is ngrok safe to use or can it be compromised?,,
Authorization approaches and design patterns for Node.js applications,,
SQL Server returns error &quot;Login failed for user &#39;NT AUTHORITY\ANONYMOUS LOGON&#39;.&quot; in Windows application,,
Difference between HTTPS and SSL,,
How are SSL certificate server names resolved/Can I add alternative names using keytool?,,
Windows equivalent of OS X Keychain?,,
"How to keep the OAuth consumer secret safe, and how to react when it&#39;s compromised?",,
Determine file type in Ruby,,
Best way to secure Android app sensitive Data?,,
Best way to handle security and avoid XSS with user entered URLs,,
What are &quot;top level JSON arrays&quot; and why are they a security risk?,,
Where to save a JWT in a browser-based application and how to use it,,
Node.js https pem error: routines:PEM_read_bio:no start line,,
Safe value must use [property]=binding after bypass security with DomSanitizer,,
How to prevent CSRF in a RESTful application?,,
Node.js + Express.js User Permission Security Model,,
OAuth2 and Google API: access token expiration time?,,
encrypt and decrypt md5,,
Azure AD App Application Permissions vs Delegated Permissions,,
CORS - localhost as allowed origin in production,,
Salt Generation and open source software,,
Why is security through obscurity a bad idea?,,
How can I check if the certificate file I have is in .pem format?,,
Best practices to store CreditCard information into DataBase,,
Is it possible to put binary image data into html markup and then get the image displayed as usual in any browser?,,
How does the RSA private key passphrase work under the hood?,,
"Login without HTTPS, how to secure?",,
Preventing session hijacking,,
Setting cookie in iframe - different Domain,,
JSON security best practices?,,
Is it more efficient to store the permissions of the user in an JWT claim or to check it on the server at every request?,,
"How to keep the client credentials confidential, while using OAuth2&#39;s Resource Owner Password Credentials grant type",,
How do you configure HttpOnly cookies in tomcat / java webapps?,,
How to encrypt and decrypt file in Android?,,
Authentication in Elasticsearch,,
How does Google Maps secure their API Key? How to make something similar?,,
Is redirecting http to https a bad idea?,,
Preferred Method of Storing Passwords In Database,,
Does it make sense to store JWT in a database?,,
What is the difference between hash salting and noncing?,,
Calculating HMACSHA256 using c# to match payment provider example,,
Save and Load from KeyChain | Swift,,
Do CSRF attacks apply to API&#39;s?,,
Securing a password in a properties file,,
Keygen tag in HTML5,,
Best way to store encryption keys in .NET C#,,
Is it possible to check if an email is confirmed on Facebook?,,
Is it secure to submit from a HTTP form to HTTPS?,,
How to set cookie secure flag using javascript,,
MongoDB: is it safe to use document&#39;s ID &quot;in public&quot;? ,,
The app&#39;s Info.plist must contain an NSMicrophoneUsageDescription key with a string value explaining to the user how the app uses this data,,
WS on HTTP vs WSS on HTTPS,,
Username and password in https url,,
Securing REST API without reinventing the wheel,,
How should a Facebook user access token be consumed on the server-side?,,
Disabling Safari autofill on usernames and passwords,,
How to Secure Android Shared Preferences?,,
Restrict access to a specific controller by IP address in ASP.NET MVC Beta,,
Vagrant insecure by default?,,
What are good ways to prevent SQL injection?,,
Black hat knowledge for white hat programmers,,
Exploitable C# Functions,,
How to fake $_SERVER[&#39;REMOTE_ADDR&#39;] variable?,,
Why people use `rel=&quot;noopener noreferrer&quot;` instead of just `rel=&quot;noreferrer&quot;`,,
Which of sprintf/snprintf is more secure?,,
Is JSONP safe to use?,,
Secure distribution of NodeJS applications,,
Examples of SQL Injections through addslashes()?,,
How to use a client certificate to authenticate and authorize in a Web API,,
Embedding youtube video &quot;Refused to display document because display forbidden by X-Frame-Options&quot;,,
What is the most secure seed for random number generation?,,
Removing the password from a VBA project,,
How to validate uploaded file in ASP.NET MVC?,,
How to create and add users to a group in Jenkins for authentication?,,
Will HTML Encoding prevent all kinds of XSS attacks?,,
PHP image upload security check list,,
Is this Rails JSON authentication API (using Devise) secure?,,
Find the owner of an AWS Access Key,,
Allowing Java to use an untrusted certificate for SSL/HTTPS connection,,
How can I hash passwords in postgresql?,,
How can a Format-String vulnerability be exploited?,,
Is CSRF possible with PUT or DELETE methods?,,
Difference between http and https,,
What is currently the most secure one-way encryption algorithm?,,
Is “Code Access Security” of any real world use?,,
IE 11 first-party session cookies being lost in iframe,,
Difference between CSRF and X-CSRF-Token,,
What are the best practices for avoiding xss attacks in a PHP site,,
Where is the PEM file format specified?,,
Found 4 vulnerabilities on npm install,,
&quot;The test form is only available for requests from the local machine.&quot;,,
How do you monitor network traffic on the iPhone?,,
Finding All Insecure Content on a Secure Page,,
"What&#39;s the difference between Message Digest, Message Authentication Code, and HMAC?",,
Are Google Cloud Functions protected from DDoS attacks?,,
curl - Is data encrypted when using the --insecure option?,,
How to secure the JavaScript API Access Token?,,
"How to Block 100,000+ Individual IP addresses",,
How to manually decrypt an ASP.NET Core Authentication cookie?,,
Is jQuery .text() method XSS safe?,,
Using API keys in a react app,,
Cross Domain Login - How to log a user in automatically when transferred from one domain to another,,
Error Importing SSL certificate : Not an X.509 Certificate,,
Laravel: What is &quot;remember_token&quot; in the &quot;users&quot; DB table?,,
Looking for suggestions for building a secure REST API within Ruby on Rails,,
What is this hacker trying to do?,,
"How safe is it to host sensitive data on repository sites like github, bitbucket, etc.?",,
What are best practices for activation/registration/password-reset links in emails with nonce,,
User Group and Role Management in .NET with Active Directory,,
What security problems could come from exposing phpinfo() to end users?,,
How to prevent arbitrary client apps from using anonymous web API?,,
Can a username and password be sent safely over HTTPS via URL parameters?,,
How to apply Spring Security filter only on secured endpoints?,,
How to stop hack/DOS attack on web API,,
Securing an API: SSL &amp; HTTP Basic Authentication vs Signature,,
Log4j vulnerability - Is Log4j 1.2.17 vulnerable (was unable to find any JNDI code in source)?,,
How can a virus exist in an image?,,
The ultimate clean/secure function,,
How to send password securely via HTTP using Javascript in absence of HTTPS?,,
Full Secure Image Upload Script,,
Encrypting/Hashing plain text passwords in database,,
Java Error: &quot;Your security settings have blocked a local application from running&quot;,,
How can I throttle user login attempts in PHP,,
How to Create Secure(TLS/SSL) Websocket Server,,
Single Sign-On in Microservice Architecture,,
Is SecureRandom.ints() secure?,,
what is the difference between X-XSRF-TOKEN and X-CSRF-TOKEN?,,
Simple caret (^) at end of Windows batch file consumes all memory,,
Shouldn&#39;t Android AccountManager Store OAuth Tokens on a Per-App/UID Basis?,,
What&#39;s wrong with XOR encryption?,,
Encrypted and secure docker containers,,
What is really a Principal in .NET?,,
Securly Storing OpenID identifiers and OAuth tokens,,
Android In App Billing: securing application public key,,
Generating cryptographically secure authentication tokens,,
Hide X-Powered-By (nginx),,
How do I grant read access for a user to a database in SQL Server?,,
Is it worth encrypting email addresses in the database?,,
Node.js hashing of passwords,,
Safely disable WP REST API,,
How to secure phpMyAdmin,,
Signed executables under Linux,,
How can I protect myself from a zip bomb?,,
Reference: What is a perfect code sample using the MySQL extension?,,
Security and Privacy of VSCode extensions,,
Using SecureString,,
Why is it good save to save sessions in the database?,,
How to upgrade OpenSSL in CentOS 6.5 / Linux / Unix from source?,,
Create an ActiveRecord database table with no :id column?,,
How can I compute a SHA-2 (ideally SHA 256 or SHA 512) hash in iOS?,,
File containing its own checksum,,
Is time() a good salt?,,
&quot;The credentials supplied to the package were not recognized&quot; error when authenticating as server with certificate generated using BouncyCastle,,
What reasons are there NOT to use OpenID?,,
Glassfish DeploymentException: Error in linking security policy for,,
Lock-down iPhone/iPod/iPad so it can only run one app,,
How to achieve a Safe (!) authentication system in an angularjs app?,,
How are the IV and authentication tag handled for &quot;AES/GCM/NoPadding&quot;?,,
PHP: Is mysql_real_escape_string sufficient for cleaning user input?,,
Why does PDO print my password when the connection fails?,,
Are secret URLs truly secure?,,
Permission denied at hdfs,,
Which functions in the C standard library commonly encourage bad practice?,,
Storing Documents as Blobs in a Database - Any disadvantages?,,
Content Security Policy for self subdomains,,
AWS Lambda: How to store secret to external API?,,
Is strip_tags() vulnerable to scripting attacks?,,
What encryption algorithm is best for encrypting cookies?,,
Node.js Express Framework Security Issues,,
What&#39;s the advantage of scrypt over bcrypt?,,
Access token and Refresh token best practices ? How to implement Access &amp; Refresh Tokens,,
SecurityException: not allowed to perform OP_READ_PHONE_STATE,,
How safe are PHP session variables?,,
Sql Server 2005 how to change dbo login name,,
How do I implement salt into my login for passwords?,,
How secure would github hosting be for private repositories?,,
Buffer overflow works in gdb but not without it,,
Is the behavior behind the Shellshock vulnerability in Bash documented or at all intentional?,,
What is the best &quot;forgot my password&quot; method?,,
How do I create a Java sandbox?,,
Somebody is storing credit card data - how are they doing it?,,
Why restrict the length of a password?,,
github Dependabot alert: Inefficient Regular Expression Complexity in nth-check,,
Preventing Brute Force Logins on Websites,,
Disable drop paste in HTML input fields?,,
Mysqldump launched by cron and password security,,
"Python 3, Are there any known security holes in ast.literal_eval(node_or_string)?",,
How to make Authorize attribute return custom 403 error page instead of redirecting to the Logon page,,
Spring security with Oauth2 or Http-Basic authentication for the same resource,,
How To Secure Web Service Without Login,,
Secure cookies and mixed https/http site usage,,
If you use HTTPS will your URL params will be safe from sniffing?,,
What common web exploits should I know about?,,
Requested registry access is not allowed,,
How can I safely set the user principal in a custom WebAPI HttpMessageHandler?,,
How do I log in to AWS Console with an IAM user account?,,
npm audit only for production dependencies?,,
Securely Erasing Password in Memory (Python),,
How Do You Secure database.yml?,,
AndroidX Security EncryptedSharedPreferences v1.1.0 /w API 21 issue,,
Is checking the referrer enough to protect against a CSRF attack?,,
HTML5 localStorage security,,
Today&#39;s XSS onmouseover exploit on twitter.com,,
Is it safe to use $.support.cors = true; in jQuery?,,
In .NET/C# test if process has administrative privileges,,
How secure is .htaccess password protection?,,
How to sanitze user input in PHP before mailing?,,
How to pin the Public key of a certificate on iOS,,
Why is there no preflight in CORS for POST requests with standard content-type,,
PHP MySQLI Prevent SQL Injection,,
Is it OK to return a HTTP 401 for a non existent resource instead of 404 to prevent information disclosure?,,
What&#39;s the best way to defend against a path traversal attack?,,
Example sites with broken security certs,,
Spring MVC - Checking if User is already logged in via Spring Security?,,
Why is Chrome reporting a secure / non secure warning when no other browsers aren&#39;t?,,
How to hash a password with SHA-512 in Java?,,
Differences Between Rijndael and AES,,
Is there a way to load a different cacerts than the one specified in the java_home/jre/lib/security folder?,,
Create a mutable java.lang.String,,
What benefit is conferred by TCP timestamp?,,
"How to store access token? (Oauth 2, Auth code flow)",,
What is md5() for?,,
How to properly do private key management,,
Secure Google Cloud Functions http trigger with auth,,
&quot;Remember Me On This Computer&quot; - How Should It Work?,,
Authenticating requests from mobile (iPhone) app to ASP.Net Web API (Feedback requested on my design),,
Storing credit card details,,
How do I store and retrieve credentials from the Windows Vault credential manager?,,
Is it possible to configure Linux capabilities per user?,,
How do I generate a SALT in Java for Salted-Hash?,,
access iframe content from a chrome&#39;s extension content script,,
Inheritance security rules violated while overriding member - SecurityRuleSet.Level2,,
"In a PHP / Apache / Linux context, why exactly is chmod 777 dangerous?",,
Are Java random UUID&#39;s predictable?,,
Securing website API keys in Chrome extensions,,
Does my JDBC connection to the database use SSL or not?,,
Why is using a Non-Random IV with CBC Mode a vulnerability?,,
Phonetically Memorable Password Generation Algorithms,,
Leveraging ASP.NET machineKey For Encrypting My Own Data,,
How to secure Elmah.axd?,,
Is it really insecure to build HTML strings in Javascript?,,
HMAC vs simple MD5 Hash,,
